t1;t2;t3;t4;t5;;;;;;;;;;;;;;
36;39;19;31;31;0;;;;;;;;;;;;;0
36;39;18;31;31;7,9375;This is sensor's normal operation. I'm using several situations to better understand the behavior of the sensor;;;;;;;;;;;;7,9375
37;39;19;32;32;1,767766953;Four hours of data were recorded by sampling every 100 milliseconds;;;;;;;;;;;;1,767766953
36;39;19;32;32;3,623922254;;;;;;;;;;;;;3,623922254
36;39;18;31;31;0,75;;;;;;;;;;;;;0,75
36;39;19;31;31;0,75;;;;;;;;;;;;;0,75
37;39;19;32;32;2,375;;;;;;;;;;;;;2,375
37;39;19;32;32;2,25;;;;;;;;;;;;;2,25
37;39;19;31;32;1,414213562;;;;;;;;;;;;;1,414213562
36;39;19;31;31;0,707106781;;;;;;;;;;;;;0,707106781
36;39;19;31;31;0;;;;;;;;;;;;;0
36;39;19;32;32;-0,353553391;;;;;;;;;;;;;-0,353553391
36;39;19;32;32;1,060660172;;;;;;;;;;;;;1,060660172
36;39;19;32;32;0,176776695;;;;;;;;;;;;;0,176776695
36;39;18;32;31;0,530330086;;;;;;;;;;;;;0,530330086
36;39;19;32;32;1,944543648;;;;;;;;;;;;;1,944543648
36;39;19;31;31;-0,25;;;;;;;;;;;;;-0,25
36;39;18;32;31;0,25;;;;;;;;;;;;;0,25
36;39;19;31;31;-0,5;;;;;;;;;;;;;-0,5
36;39;19;31;31;0;;;;;;;;;;;;;0
36;39;19;31;31;0;;;;;;;;;;;;;0
36;39;19;32;32;0;;;;;;;;;;;;;0
36;39;18;31;31;0,5;;;;;;;;;;;;;0,5
36;39;19;31;31;-0,5;;;;;;;;;;;;;-0,5
36;39;18;31;31;0,5;;;;;;;;;;;;;0,5
36;39;19;31;31;0,5;;;;;;;;;;;;;0,5
36;39;19;31;31;-0,5;;;;;;;;;;;;;-0,5
36;39;18;31;31;-0,25;;;;;;;;;;;;;-0,25
36;39;19;31;31;0,5;;;;;;;;;;;;;0,5
36;39;18;31;31;0,25;;;;;;;;;;;;;0,25
36;39;19;31;31;0,75;;;;;;;;;;;;;0,75
36;39;18;31;31;0,5;;;;;;;;;;;;;0,5
36;39;19;31;31;0;;;;;;;;;;;;;0
36;39;19;31;31;-0,353553391;;;;;;;;;;;;;-0,353553391
36;40;19;31;32;-0,353553391;;;;;;;;;;;;;-0,353553391
36;39;19;31;31;0;;;;;;;;;;;;;0
