Normal 1;Normal2;Impersonation;Replay 1;Replay 2
29;47;37;24;29
29;46;33;24;30
29;46;33;24;30
29;46;34;24;30
29;46;35;24;30
29;46;36;24;30
29;46;36;24;31
29;46;36;24;31
29;47;34;25;30
29;46;37;24;30
29;46;37;24;31
29;46;37;24;30
29;46;36;24;31
29;47;35;24;30
29;46;36;24;31
30;46;36;24;30
29;46;34;24;31
29;46;36;24;31
29;46;36;24;30
29;46;36;24;31
29;46;34;24;31
29;47;35;24;31
29;46;36;24;30
29;46;37;24;31
29;46;33;24;31
28;46;36;24;31
29;46;36;24;31
29;46;35;24;31
29;46;36;24;30
29;46;34;25;30
29;46;34;24;30
29;47;35;24;31
28;46;36;24;30
29;46;34;24;31
29;46;37;24;30
29;47;34;24;30
29;46;36;24;31
29;46;34;24;30
29;46;35;24;31
29;46;34;24;31
29;46;36;24;30
29;46;36;24;30
29;46;36;24;30
29;46;36;24;31
29;47;37;24;30
29;46;37;24;30
29;46;37;24;30
29;47;38;24;30
29;46;38;24;30
29;46;35;24;30
29;47;35;24;30
29;46;34;24;31
29;46;34;24;31
29;46;33;24;31
29;46;35;24;30
29;47;35;24;31
29;46;36;24;31
29;46;35;24;31
29;46;35;24;30
29;46;34;24;31
29;46;36;24;31
29;47;35;24;31
29;46;36;24;31
28;46;35;24;31
29;46;36;24;31
29;46;35;24;31
29;46;34;24;31
29;46;36;24;30
29;47;37;24;30
29;45;34;24;31
29;46;37;24;31
29;47;36;24;31
29;46;36;24;31
29;46;35;24;30
29;46;35;24;31
29;46;36;24;31
29;47;36;24;31
29;46;35;24;31
29;46;34;24;31
29;45;36;24;31
29;46;34;24;31
29;46;37;24;31
29;47;33;24;31
29;47;36;24;31
28;46;36;24;31
29;46;36;24;31
29;46;36;24;31
29;46;34;24;31
29;46;34;24;31
29;47;35;24;30
29;46;36;24;31
29;46;35;24;31
29;46;34;24;30
29;47;35;24;31
29;46;36;24;31
29;47;35;25;31
29;46;33;24;30
29;46;34;24;30
29;46;33;24;31
29;46;35;24;31
30;46;34;24;31
29;47;35;24;31
29;46;33;24;31
29;46;33;24;31
29;46;32;24;31
29;46;34;24;31
29;47;32;24;31
29;47;32;24;31
29;45;33;24;31
29;46;33;24;31
29;46;35;24;31
29;46;33;24;31
29;46;34;24;31
30;46;34;24;31
29;46;36;24;31
29;46;32;24;30
29;46;34;24;31
29;47;34;24;31
29;46;35;24;31
29;47;33;24;31
29;46;33;24;31
29;46;33;24;31
29;46;35;24;31
29;46;36;24;31
29;47;33;24;31
29;46;35;25;31
30;46;35;24;31
30;46;36;24;31
29;46;33;24;31
29;46;33;24;31
29;47;33;24;31
29;47;35;24;31
29;46;33;24;31
29;47;35;24;31
29;46;34;24;30
29;47;34;24;31
29;47;36;24;31
29;47;33;24;31
29;46;34;24;31
29;46;33;24;31
29;46;35;24;31
29;46;35;24;31
29;46;33;24;31
29;46;33;25;31
28;47;35;24;31
29;47;35;24;31
29;46;34;24;31
29;46;33;24;31
30;46;33;24;31
29;47;34;24;31
29;46;35;24;30
29;46;33;24;31
29;47;34;25;30
29;46;32;24;31
29;47;32;24;30
29;46;34;24;31
28;47;35;24;30
29;46;32;24;31
29;47;33;24;31
29;47;33;24;31
29;47;35;25;31
29;46;34;24;31
29;47;32;24;30
29;47;32;24;31
29;46;35;24;31
29;46;34;24;31
29;46;34;24;31
30;46;34;24;30
29;46;36;24;30
29;47;33;24;31
29;46;35;24;31
29;47;33;24;31
29;46;34;24;31
29;47;33;24;31
29;46;34;24;31
29;47;33;24;31
29;47;34;24;31
29;47;34;24;31
29;47;32;24;31
29;47;33;24;31
29;47;34;24;31
29;46;34;24;31
29;47;33;24;31
29;47;32;24;31
29;46;32;24;31
29;47;33;24;31
30;47;32;24;31
29;46;32;24;31
29;47;35;24;31
29;46;32;24;31
29;47;32;24;31
29;46;33;24;31
29;46;34;24;31
30;46;34;24;31
29;46;32;24;31
29;47;33;24;30
29;46;35;24;31
29;46;35;24;31
29;46;34;24;31
29;47;34;24;31
29;46;35;24;31
29;47;36;24;31
29;47;35;24;31
29;47;33;24;31
29;47;33;24;31
29;46;33;24;32
29;46;34;24;31
29;46;35;24;31
29;47;35;24;31
29;46;33;24;30
29;46;34;24;31
29;46;33;24;31
29;46;35;24;31
29;47;34;24;30
29;47;33;24;31
28;47;35;24;31
29;46;34;24;31
29;47;33;24;30
29;46;35;24;30
29;46;36;24;31
29;46;35;23;31
29;47;35;24;31
29;47;33;24;31
29;46;35;24;31
29;46;33;24;31
29;46;35;24;31
29;47;34;24;31
29;47;36;24;31
28;47;34;24;31
29;47;34;25;30
29;47;35;24;31
29;46;33;24;31
29;46;34;24;31
29;47;36;24;31
29;46;35;24;32
29;46;33;24;31
28;46;36;24;31
29;47;35;24;31
29;47;34;24;31
29;46;34;24;32
29;47;34;24;31
29;47;33;24;31
29;47;34;24;31
29;46;35;24;30
29;47;35;24;31
29;47;35;24;31
29;46;36;24;32
29;46;36;24;31
29;47;34;24;31
29;47;34;24;31
29;46;36;24;31
29;47;36;24;31
29;47;35;24;31
29;47;36;24;31
29;46;37;24;31
29;47;37;24;31
29;46;36;24;31
29;46;35;24;31
29;47;36;24;31
29;47;37;24;31
29;47;34;24;31
29;47;34;24;31
29;46;35;24;31
29;47;34;24;31
29;47;34;24;31
29;47;32;24;31
29;47;35;24;32
29;46;36;24;31
29;47;34;24;31
29;47;33;24;31
29;47;34;24;30
29;46;34;24;31
29;47;34;24;31
29;47;33;24;31
29;46;34;24;31
29;47;34;24;31
29;47;34;24;31
29;47;36;24;31
29;46;33;24;30
29;47;34;24;31
29;47;34;24;31
29;46;35;24;31
29;47;32;24;31
29;47;35;24;31
29;47;33;24;31
29;46;33;24;31
29;47;34;24;31
29;47;35;25;31
29;46;33;24;31
29;47;33;24;31
29;47;33;24;31
29;47;35;24;31
29;47;33;25;30
29;47;32;24;31
29;47;35;24;31
29;46;33;24;31
29;47;34;24;31
29;47;32;24;31
29;47;32;24;31
29;47;31;24;31
29;47;35;24;31
29;46;34;24;32
29;47;33;24;31
29;47;32;24;31
29;47;34;24;31
29;47;35;24;31
29;47;36;24;31
29;47;35;24;31
29;47;35;24;31
29;46;35;24;31
29;47;36;24;31
29;47;34;24;31
29;47;35;24;31
29;47;34;24;31
29;47;36;24;31
29;46;36;24;31
29;47;37;24;31
29;47;35;24;31
29;47;37;24;31
29;46;36;24;31
29;47;37;24;31
29;47;36;24;31
29;47;38;24;32
30;47;38;24;31
30;47;35;24;31
29;47;34;24;31
29;46;34;24;31
29;46;33;24;32
29;47;35;24;32
29;47;33;24;31
29;47;33;25;31
29;46;35;24;31
29;47;32;24;31
29;47;35;24;31
29;47;34;24;31
29;47;36;24;31
29;47;34;24;31
29;47;35;24;31
29;46;34;24;32
29;47;34;24;31
29;47;32;24;31
29;47;34;24;31
29;47;35;24;31
29;47;36;24;32
29;47;33;24;31
29;47;34;24;31
29;47;35;24;31
29;46;36;24;31
29;47;35;24;32
29;47;34;24;31
29;46;34;24;31
29;48;36;24;31
29;47;33;24;31
29;47;33;24;32
29;47;32;24;31
29;46;32;24;31
29;47;35;23;31
29;47;34;24;31
29;47;33;24;31
29;47;36;24;31
29;47;33;24;31
29;47;35;24;31
29;46;36;24;31
29;46;37;24;32
29;47;33;24;31
29;46;35;24;31
29;46;34;23;31
29;47;33;25;32
29;46;36;25;31
29;47;34;24;31
29;47;35;24;31
29;47;36;24;31
29;47;33;24;31
29;47;35;24;31
29;47;35;24;32
29;47;33;24;31
29;47;35;24;31
29;47;35;24;32
29;47;35;24;31
29;47;33;24;31
29;47;36;24;32
29;47;35;24;31
29;47;34;25;31
29;47;36;24;31
29;47;35;24;31
29;47;35;24;31
29;47;35;24;31
29;47;36;24;31
29;47;36;24;31
29;47;35;24;31
29;47;36;24;31
29;47;37;24;31
29;47;35;24;31
29;47;35;24;31
29;47;35;24;31
29;46;34;25;31
29;47;35;24;32
29;47;33;24;31
29;47;32;24;32
29;47;33;24;32
29;47;35;24;31
29;47;34;24;32
29;47;35;24;32
29;47;35;24;31
29;47;35;24;31
29;47;35;24;32
29;47;34;25;31
29;47;33;24;31
29;47;34;25;31
29;47;33;24;32
29;47;35;24;31
29;47;32;24;31
29;47;33;24;31
29;47;34;24;31
29;47;33;24;32
29;47;32;24;32
29;47;35;25;32
29;47;34;24;31
29;47;32;24;31
29;47;34;24;31
29;47;35;24;32
29;47;32;24;32
29;47;34;24;32
29;47;35;24;31
29;47;33;24;32
29;47;35;24;32
29;47;36;24;31
29;47;36;24;32
29;47;34;24;32
29;47;33;24;31
29;47;37;24;31
29;47;33;24;32
29;47;36;24;31
29;47;36;24;32
29;47;36;24;31
29;47;34;24;32
29;47;36;24;32
29;47;34;24;32
29;47;36;24;32
29;47;37;24;31
29;47;35;24;32
29;47;35;24;32
29;46;37;24;32
29;47;36;24;31
29;47;37;24;31
29;47;35;24;31
29;47;35;24;31
29;47;37;24;31
29;47;35;24;32
29;47;36;24;32
29;47;36;24;32
29;47;34;25;31
29;47;35;24;32
29;47;35;24;32
29;47;36;24;32
29;47;35;24;32
29;47;36;24;31
29;47;35;24;31
29;47;34;24;31
29;47;33;24;32
29;47;34;24;31
29;47;33;24;31
29;47;32;24;31
29;47;34;24;31
29;47;33;24;32
29;47;33;24;31
29;47;33;24;31
29;47;33;24;32
29;47;34;24;31
29;47;32;24;32
29;47;33;24;31
29;47;32;24;32
29;47;32;24;31
29;47;33;24;32
29;47;34;24;32
29;47;33;24;31
29;47;34;24;32
29;47;34;24;32
29;47;36;24;32
29;47;36;24;31
29;46;36;24;31
29;47;35;24;32
29;47;37;24;31
29;47;37;24;32
29;47;35;24;33
29;47;36;24;31
29;47;38;24;32
29;47;37;24;31
29;46;36;24;31
29;47;37;24;31
29;47;36;24;31
29;47;36;24;32
29;47;35;24;31
29;47;37;24;31
29;47;38;24;32
29;47;35;24;31
29;47;36;24;31
29;47;38;24;32
29;47;35;23;32
29;47;37;24;31
29;47;37;24;32
29;47;36;24;32
29;47;38;24;32
29;47;36;24;32
29;47;35;24;32
28;47;35;24;31
29;47;36;24;32
29;47;37;24;32
29;47;34;24;32
29;47;35;24;32
29;47;34;24;33
29;47;35;24;31
29;47;33;24;32
29;47;35;24;32
29;47;33;24;31
29;47;34;24;31
28;47;35;24;31
29;47;33;24;32
30;47;34;24;32
29;47;36;24;32
28;47;34;24;32
29;47;32;24;32
29;47;33;24;32
29;47;33;24;31
29;47;34;24;31
29;47;33;24;32
29;47;33;24;32
29;47;34;24;32
29;47;34;24;32
29;47;35;24;32
29;47;35;24;32
29;47;33;23;32
29;47;33;24;31
29;47;36;24;32
28;47;33;24;31
29;47;35;24;31
29;47;35;24;32
29;47;36;24;32
29;47;34;24;31
29;47;35;24;32
29;47;37;24;32
29;47;35;24;32
29;47;36;24;31
29;47;34;24;31
29;47;34;24;31
29;47;33;24;31
29;47;33;24;32
28;47;35;24;32
29;47;34;24;32
29;47;35;24;31
29;47;35;24;31
29;47;35;24;31
29;47;35;24;31
29;47;33;24;32
29;47;36;24;32
29;47;34;25;31
29;47;33;24;32
28;47;34;24;31
29;47;36;24;32
29;47;34;24;31
28;47;36;24;31
29;47;36;24;32
28;47;34;24;31
29;47;36;24;31
29;47;37;24;32
28;47;35;24;31
29;47;35;24;31
28;47;37;24;31
29;47;37;25;32
29;47;34;24;32
28;47;36;24;32
29;47;37;24;32
29;47;36;24;31
28;48;35;24;32
29;47;35;24;31
29;47;36;24;32
29;47;37;24;32
29;47;37;24;32
29;47;36;24;32
29;47;36;25;32
28;47;38;25;31
29;47;37;24;31
29;47;36;24;32
28;46;37;24;31
28;48;38;24;31
29;47;37;24;32
29;47;37;25;32
28;47;36;24;31
29;47;38;24;32
29;47;35;25;31
29;47;38;24;31
29;47;38;24;31
29;47;35;24;32
29;47;35;24;32
30;47;36;24;31
29;47;35;24;31
29;47;37;24;32
29;47;34;24;31
29;47;35;24;32
29;47;37;24;31
29;47;36;24;32
29;47;33;24;32
29;47;36;24;32
29;47;36;24;31
29;47;36;24;32
29;48;34;24;32
29;47;35;24;31
29;47;36;24;31
29;47;33;24;32
29;47;36;24;32
29;47;37;24;32
29;47;34;24;32
29;47;35;24;32
29;47;35;24;31
28;47;34;24;31
29;47;33;24;32
29;47;33;24;32
29;47;34;24;32
30;47;35;24;32
29;47;36;24;32
29;47;35;24;32
29;47;33;24;32
29;47;33;24;31
29;47;36;24;32
29;47;33;24;32
29;47;35;24;31
29;47;33;24;32
29;47;33;25;32
29;47;34;24;31
28;47;33;24;32
29;47;35;24;32
29;47;35;24;32
29;47;36;23;32
29;48;36;24;32
28;47;35;24;32
29;47;34;24;32
29;47;37;24;32
29;47;36;24;33
29;47;36;24;31
29;47;37;24;32
29;47;37;24;32
29;47;35;24;32
29;47;36;24;32
29;47;37;24;31
29;47;35;24;31
29;47;34;24;32
29;47;35;24;32
29;47;37;24;32
29;47;34;24;31
29;47;35;24;31
29;47;35;24;32
28;47;33;24;31
28;47;36;24;32
30;47;36;24;31
29;47;36;24;32
29;47;33;25;32
28;47;33;24;31
28;47;33;23;32
29;47;33;24;32
29;47;34;24;32
28;47;32;24;31
29;47;33;24;32
29;47;31;24;32
29;47;34;24;32
28;47;32;24;32
29;47;33;24;32
29;47;35;24;31
29;47;34;24;31
29;47;35;24;32
28;47;35;24;31
29;47;35;24;32
29;47;34;24;32
29;47;34;24;32
29;47;34;24;32
29;47;34;24;32
29;47;33;24;32
29;47;33;24;31
29;48;33;24;32
29;47;33;24;32
29;47;32;24;32
29;47;33;24;32
29;47;33;24;32
29;48;35;24;32
29;47;32;24;31
29;47;34;24;32
29;47;34;24;32
28;47;33;24;32
29;47;35;24;32
28;47;35;24;32
29;47;34;24;32
29;47;34;24;32
29;47;33;24;31
29;47;33;24;32
29;47;32;24;32
29;47;33;24;32
29;47;32;24;32
28;47;33;24;32
29;47;33;24;32
28;47;35;24;32
29;47;32;24;31
29;47;32;24;32
29;47;32;24;32
29;47;34;24;32
29;47;31;24;32
29;47;35;24;32
29;47;33;24;32
29;47;32;24;32
29;47;35;24;32
29;47;35;24;32
29;47;34;24;32
30;47;34;24;32
29;47;36;24;32
29;47;34;24;32
29;47;33;24;33
29;47;35;24;32
29;47;34;24;32
28;47;35;24;32
28;47;34;24;32
29;47;35;24;32
28;48;34;24;32
29;47;35;24;32
29;47;34;24;32
29;47;36;24;32
29;47;33;24;32
29;47;36;24;32
29;47;36;24;32
29;47;34;24;32
29;47;35;24;32
28;47;37;24;32
29;47;36;24;32
29;47;37;24;32
29;47;35;24;32
29;47;35;24;32
29;47;34;24;32
29;47;35;24;32
29;47;36;24;32
28;47;35;24;32
29;47;35;24;32
29;47;37;24;32
29;47;36;24;32
29;47;34;24;32
29;47;35;24;31
29;47;36;24;32
29;47;35;24;33
29;47;34;24;32
29;47;35;24;32
29;47;34;24;32
29;47;35;24;32
29;47;35;24;32
28;47;36;24;32
29;48;37;24;33
29;47;36;24;32
29;47;34;24;32
28;47;34;24;32
29;47;35;25;32
29;47;35;24;32
28;47;34;24;32
29;47;34;24;32
29;47;36;24;32
29;47;33;24;32
29;47;34;25;32
29;47;36;24;32
29;47;35;24;32
29;47;36;24;32
29;47;34;24;32
29;47;35;24;32
29;47;35;24;32
29;48;34;24;32
29;47;33;24;32
29;47;34;24;32
29;47;32;24;32
29;48;33;24;32
29;47;32;24;31
29;47;32;24;32
29;48;32;24;33
28;48;33;24;32
29;47;33;24;32
29;47;32;24;32
29;48;32;24;32
29;47;32;24;32
29;47;34;24;33
30;47;34;24;32
29;47;35;24;32
29;47;32;24;31
29;47;32;25;32
29;48;34;24;32
30;47;35;24;32
29;48;33;24;32
29;47;34;24;32
29;47;36;24;32
29;47;34;24;32
29;47;36;25;32
29;47;35;24;32
29;47;35;24;32
29;47;34;24;32
29;47;36;24;32
28;47;35;24;32
29;47;34;24;32
29;47;33;24;32
29;47;34;24;32
28;48;33;24;32
29;47;33;24;32
29;48;32;24;33
29;47;31;24;32
29;47;32;24;32
29;47;32;24;33
29;47;31;24;32
29;48;31;24;32
29;47;34;24;32
29;47;34;24;32
29;47;32;24;32
29;47;33;24;32
29;47;34;24;32
29;47;33;24;32
29;47;33;24;32
29;47;35;24;32
29;47;34;24;32
29;47;34;25;32
29;47;32;24;32
29;48;34;24;32
29;47;33;24;32
29;48;33;24;32
29;47;32;24;32
29;47;35;24;32
29;47;33;24;32
29;47;32;24;32
29;47;31;24;32
29;47;33;24;32
29;47;34;25;32
29;47;31;24;32
29;47;31;24;33
29;47;33;24;32
29;48;32;24;32
29;48;33;24;31
29;47;31;24;32
29;47;32;24;32
29;47;31;24;32
29;47;31;24;32
29;47;31;24;32
29;47;30;24;32
29;48;33;24;32
29;47;33;24;32
30;47;32;24;32
29;47;32;24;32
29;47;32;24;32
29;48;31;24;32
29;47;31;24;32
29;47;34;24;32
29;47;32;24;32
29;47;33;24;32
29;47;35;24;32
29;47;35;24;32
29;47;34;24;32
29;47;33;24;32
29;47;34;24;32
29;47;35;24;32
29;47;35;24;32
29;47;33;24;33
29;48;36;24;32
29;47;36;24;32
29;47;37;24;32
29;48;37;24;32
29;47;36;24;32
29;47;38;24;32
29;48;38;24;32
29;47;37;24;32
29;48;35;24;32
29;47;38;24;32
29;48;35;24;32
29;47;36;24;32
29;47;35;24;32
29;47;34;24;32
29;48;33;24;32
29;48;35;24;32
29;48;36;24;33
29;48;35;24;32
29;48;34;24;32
29;47;36;24;32
29;47;35;24;32
29;48;34;24;32
29;48;34;24;32
29;47;33;24;32
29;48;34;24;32
29;48;33;24;32
29;48;33;24;32
29;47;34;24;32
29;48;35;24;32
29;48;34;24;32
29;47;34;24;32
29;48;35;24;32
29;48;36;24;32
29;47;33;24;32
29;48;33;24;31
29;48;32;24;32
29;48;34;24;32
29;47;34;24;33
29;48;33;24;32
29;47;35;24;32
29;48;35;24;32
29;47;35;24;32
29;47;36;24;32
29;48;36;24;32
29;48;37;24;32
29;48;36;24;33
29;47;38;24;32
29;48;37;24;32
29;47;36;24;32
29;47;37;24;32
29;47;35;24;32
29;47;36;24;32
29;48;37;24;32
29;48;37;24;32
29;47;36;24;33
29;47;37;24;32
29;47;38;24;32
29;47;37;24;32
29;47;38;24;32
29;47;38;24;32
29;47;35;24;32
29;47;38;24;32
29;49;36;24;32
29;48;36;24;32
29;47;38;24;33
30;48;36;24;32
29;47;34;24;32
29;47;38;24;32
29;49;34;24;32
29;48;36;24;33
29;48;37;24;32
29;47;34;24;32
29;47;34;24;32
29;48;34;24;33
29;48;33;24;32
29;48;33;24;32
29;47;35;24;32
29;47;33;24;32
29;48;34;24;33
29;47;32;24;32
29;47;32;24;32
29;48;34;24;32
29;48;35;24;32
29;47;34;24;33
29;48;32;24;32
29;47;35;24;33
29;48;33;24;32
29;47;32;24;32
29;48;34;24;32
29;48;35;24;33
29;48;34;24;32
29;47;34;24;33
29;47;35;24;32
29;48;36;24;33
29;47;33;24;33
29;47;34;25;33
29;48;36;24;32
29;48;36;24;32
29;47;33;24;32
29;48;33;24;32
29;47;34;24;32
29;47;32;24;32
29;47;32;24;32
29;48;35;24;32
29;47;34;24;32
29;47;32;24;32
29;48;34;24;33
29;47;33;24;32
29;47;35;24;32
29;48;33;24;32
29;47;34;24;32
29;47;34;24;32
29;47;36;24;32
29;47;36;24;32
29;47;37;24;32
29;47;35;24;32
29;47;35;24;32
29;48;34;24;32
29;47;36;24;32
29;48;36;24;33
29;48;37;25;32
29;48;35;24;32
29;48;35;24;32
29;48;36;24;32
29;48;34;25;32
29;48;37;24;33
29;48;37;24;33
30;48;36;24;32
29;48;37;24;32
29;48;35;24;32
29;48;34;24;33
29;48;34;24;33
29;47;35;24;32
29;47;36;24;33
29;47;36;24;33
29;48;34;24;32
29;47;35;24;33
29;48;36;24;33
29;48;35;24;33
29;48;36;24;32
29;47;34;24;32
29;48;35;24;33
29;47;34;24;33
29;48;34;24;32
29;48;32;24;32
29;48;35;24;33
29;47;35;24;33
29;48;35;24;32
29;47;36;24;32
29;47;33;24;32
29;48;34;24;32
29;48;34;24;33
29;47;35;24;32
29;48;33;24;33
29;48;33;24;32
29;47;34;25;32
29;48;33;24;32
29;48;34;24;32
29;48;32;23;33
29;47;35;24;33
29;47;35;24;32
29;48;32;24;33
29;48;32;24;33
29;48;32;24;32
29;47;34;24;33
30;48;32;24;32
29;48;32;24;32
29;48;31;24;33
29;48;31;24;33
29;48;31;24;33
29;47;32;24;32
29;48;33;24;32
29;48;33;24;32
29;48;31;24;33
29;48;34;24;32
29;48;31;25;33
29;48;33;24;32
29;48;31;24;33
29;48;31;24;33
29;47;30;24;33
29;48;34;24;32
29;48;34;24;33
29;48;32;24;32
28;48;34;24;32
29;48;34;24;33
29;48;33;24;32
29;47;32;24;32
29;48;34;24;33
29;48;35;24;32
29;48;34;24;33
29;48;35;24;33
29;48;35;24;32
29;48;35;24;33
29;48;34;24;32
29;48;34;24;33
29;47;35;24;32
29;47;34;24;33
29;47;36;24;32
29;48;34;24;32
29;48;35;24;33
29;48;37;24;32
29;47;37;24;33
29;48;34;24;33
29;48;37;24;33
29;48;36;24;33
29;48;35;24;33
29;48;36;24;33
29;48;36;24;33
29;48;35;24;32
29;48;37;24;32
29;47;37;24;33
29;48;35;24;33
29;48;36;24;32
29;48;35;24;33
29;48;36;24;32
29;48;34;24;32
29;48;35;24;33
29;48;33;24;33
29;48;33;24;33
29;48;34;24;32
29;48;33;24;33
29;47;34;24;32
29;48;35;24;33
29;48;32;24;32
29;48;34;24;32
29;47;34;24;33
29;48;34;24;32
29;47;35;24;32
29;48;36;24;33
29;48;34;24;32
29;48;34;24;33
29;48;35;24;33
29;48;35;24;32
29;48;33;24;33
29;48;32;24;32
29;48;35;24;32
29;47;33;24;33
29;48;34;24;33
29;48;35;24;33
29;47;35;24;32
29;48;33;24;32
29;48;33;24;32
29;48;35;24;33
29;48;34;24;32
29;48;35;24;33
29;48;35;24;32
29;48;34;24;33
29;48;36;24;32
29;48;34;24;33
29;48;33;24;33
29;48;33;24;32
29;48;34;24;32
29;48;33;24;32
29;48;33;24;33
29;48;34;24;33
29;48;35;24;33
29;48;35;24;33
29;48;34;24;33
29;48;33;24;32
29;48;34;24;33
29;48;35;24;33
29;48;33;24;33
29;48;35;24;32
29;48;33;24;33
29;48;36;24;33
29;47;34;24;33
29;47;35;24;33
29;48;33;24;33
29;48;35;24;33
29;47;34;24;33
29;47;33;24;33
29;47;34;24;33
29;48;32;24;33
29;47;34;24;33
29;47;35;24;33
29;47;34;24;33
29;48;32;24;33
29;48;34;24;33
29;48;32;25;33
29;48;34;24;33
29;47;34;24;33
29;48;33;24;33
29;48;34;24;33
29;48;34;24;33
29;48;34;24;33
29;48;35;24;33
29;48;33;24;33
29;48;34;24;33
29;48;35;24;33
29;48;33;24;33
29;48;32;24;33
29;48;33;24;32
29;48;35;24;33
29;48;32;24;33
29;48;35;24;33
29;48;35;24;33
29;48;33;24;32
29;48;36;24;32
29;48;33;24;33
29;48;36;24;33
29;48;36;24;33
29;48;35;24;33
29;47;36;24;33
29;48;34;24;33
29;48;37;24;33
29;48;36;24;33
29;48;36;24;33
29;48;37;24;33
29;48;35;24;33
29;48;37;25;33
29;48;34;24;32
29;48;36;24;33
29;48;35;24;32
29;48;34;24;33
29;48;37;24;33
29;48;34;24;33
29;48;36;24;33
29;48;36;24;32
29;48;34;24;33
29;48;35;24;32
29;48;34;25;33
29;48;33;25;32
29;48;33;24;33
29;48;33;24;33
