Sensor Impersonation attack;Replay attack;Denial of service attack;Random signal in range;t5;t4
19;39;31;29;30;31
18;39;31;25;28;31
19;39;31;28;29;32
19;39;30;29;29;32
18;39;31;30;30;31
19;39;31;29;30;31
19;39;31;30;30;32
19;39;31;30;30;32
19;39;31;27;29;31
19;39;31;27;29;31
19;39;30;31;30;31
19;39;30;27;29;32
19;39;30;31;30;32
19;39;30;29;29;32
18;39;30;27;29;32
19;39;30;29;29;32
19;39;30;27;29;31
18;39;30;29;29;32
19;39;30;26;29;31
19;39;30;26;29;31
19;39;30;25;28;31
19;39;30;25;28;32
18;39;30;24;28;31
19;39;30;27;29;31
18;39;30;25;28;31
19;39;30;25;28;31
19;39;30;26;29;31
18;39;30;26;28;31
19;39;30;26;29;31
18;39;30;25;28;31
19;39;30;27;29;31
18;39;30;27;29;31
19;39;29;28;29;31
19;39;29;25;28;31
19;40;30;29;30;31
19;39;30;25;28;31
19;39;29;29;29;31
19;39;29;28;29;31
19;39;29;30;29;31
19;39;29;30;29;31
19;39;29;28;29;31
19;40;29;31;30;31
19;40;29;29;29;31
19;40;30;31;30;31
18;40;29;32;30;31
19;39;29;27;29;31
19;39;29;28;29;31
19;39;29;30;29;31
18;39;29;32;30;31
18;39;29;29;29;31
19;39;29;29;29;31
19;39;29;31;30;31
19;39;29;28;29;30
19;39;29;30;29;30
19;39;29;29;29;29
19;39;29;32;30;30
19;39;29;32;30;30
19;40;29;27;29;30
19;40;29;31;30;30
19;39;29;28;29;30
19;39;29;30;29;31
19;40;29;32;30;30
19;39;29;32;30;30
19;40;28;33;30;30
19;39;29;29;29;30
19;40;29;31;30;30
19;40;29;28;29;30
19;39;29;29;29;30
19;39;29;29;29;30
19;39;29;32;30;30
19;39;29;27;29;30
19;39;29;27;29;30
18;40;29;27;29;30
19;40;28;28;29;30
19;39;28;27;28;30
19;40;28;27;29;30
19;40;29;28;29;30
19;40;28;27;29;30
19;40;28;26;28;29
19;39;28;30;29;30
19;40;28;30;29;30
19;40;28;31;30;30
19;40;28;30;29;30
19;40;28;31;30;30
19;40;28;31;30;29
19;40;28;30;29;29
19;40;28;30;29;30
18;40;28;30;29;30
18;40;28;31;29;29
19;40;28;28;29;29
18;40;28;27;28;30
19;40;28;27;29;30
18;40;28;31;29;30
18;40;28;32;30;29
19;40;28;31;30;29
19;40;28;30;29;29
18;40;27;32;29;29
18;40;28;28;29;30
18;40;28;31;29;29
18;40;28;30;29;29
18;40;28;32;30;30
18;40;28;30;29;29
18;39;28;32;29;29
19;40;27;28;29;29
19;40;28;31;30;29
18;39;28;31;29;29
18;40;28;29;29;30
18;40;27;31;29;29
19;40;27;30;29;29
18;39;27;30;29;29
18;39;27;28;28;28
18;40;27;27;28;29
18;40;28;28;29;29
18;40;28;29;29;29
18;40;27;29;29;29
18;40;27;27;28;29
18;40;28;26;28;29
18;40;27;25;28;29
19;40;28;27;29;29
19;40;27;25;28;29
19;40;27;28;29;29
19;40;27;29;29;29
19;40;27;29;29;29
19;40;27;25;28;29
19;40;27;26;28;29
19;40;27;26;28;29
19;40;27;27;28;29
19;40;27;25;28;29
19;40;27;27;28;29
18;40;27;29;29;29
19;40;27;26;28;29
19;40;27;26;28;29
19;40;27;27;28;29
19;40;27;25;28;28
19;40;27;25;28;29
19;40;27;26;28;29
19;40;27;25;28;29
19;40;27;28;29;29
19;40;27;24;28;29
19;40;27;26;28;29
19;40;27;24;28;29
18;40;27;29;29;29
19;40;26;26;28;29
19;40;26;28;28;28
18;40;27;26;28;28
18;40;27;28;28;28
19;40;27;27;28;28
19;40;27;25;28;29
19;40;27;28;29;29
19;40;26;28;28;29
19;40;27;25;28;28
19;40;27;25;28;29
19;40;26;24;27;29
19;40;26;25;28;28
19;40;27;23;27;28
19;40;26;26;28;28
19;40;26;28;28;28
19;40;27;28;29;28
19;41;26;26;28;29
18;40;26;26;28;28
19;40;26;28;28;28
19;40;26;27;28;28
18;40;27;30;29;28
19;40;26;30;29;28
19;40;26;31;29;28
19;40;26;27;28;28
19;40;26;32;29;28
19;40;26;30;29;28
19;40;26;31;29;28
19;40;26;32;29;28
18;41;26;32;29;28
19;40;26;33;30;29
19;40;26;28;28;28
19;40;26;29;29;28
19;41;26;30;29;28
18;40;26;28;28;28
18;41;26;27;28;28
19;40;26;29;29;28
19;40;26;28;28;28
19;40;26;31;29;28
19;40;26;31;29;28
19;40;26;29;29;28
18;40;25;30;28;28
18;40;26;30;29;28
19;40;26;31;29;28
19;40;26;33;30;28
18;41;26;32;29;28
18;40;26;30;29;28
19;40;26;31;29;28
19;40;26;32;29;28
18;40;26;29;28;28
19;41;26;32;30;28
19;40;26;29;29;28
19;41;26;28;29;28
19;40;25;30;29;28
18;40;25;29;28;28
19;41;25;32;29;28
19;41;26;27;28;28
19;40;25;27;28;28
19;40;26;27;28;28
19;41;26;30;29;28
18;40;26;28;28;28
19;40;25;27;28;28
18;40;25;30;28;28
18;40;25;29;28;28
18;40;25;30;28;28
18;40;25;28;28;28
19;40;25;27;28;28
18;40;25;29;28;28
18;40;25;26;27;28
18;41;25;28;28;28
18;40;25;29;28;28
19;40;25;30;29;28
18;40;25;27;28;28
19;40;25;26;28;28
18;40;25;28;28;28
18;40;25;26;27;28
